,Mahalanobis_Distance
116,6.000862083680327
117,5.70268951380654
118,7.16819024785015
119,7.21937387902934
120,6.53434381587209
121,5.8621724556018275
122,7.5729654012701015
123,6.909982087985165
124,6.955867474168019
125,7.210971224453314
126,6.440705745754523
127,6.252046012306488
128,6.0780990210964045
129,5.88894865283776
130,7.3751633829561545
131,7.855094691437569
132,6.6170169011108735
133,6.814437834649481
134,6.893194020681431
135,6.391492319428623
136,6.221275068598387
137,5.644552100039396
138,5.870160418601353
139,6.282689363773593
140,5.087688193046931
141,5.2772554283708395
142,5.455541006219907
143,5.441856739133398
144,4.952476987747187
145,5.050417411186585
146,6.686838523632556
147,6.916435931101973
148,5.715755393317403
149,7.190059621176972
150,5.199322301622968
151,6.30417520381578
152,6.428003128859926
153,4.6671448753994875
154,6.319863732473757
155,5.76205528537479
156,5.519357163443612
157,5.3127817799297485
158,5.266193864961104
159,5.597439983728488
160,5.518542919803201
161,5.228276212455927
162,6.922123290574419
163,5.804682478175001
164,7.782988528606253
165,8.574615861704709
166,8.464058678663875
167,6.5361251307909844
168,7.169837073644461
169,7.786039949118344
170,9.567296220406512
171,7.457820982737154
172,5.752077554198187
173,7.0925919149077465
174,5.756073264082787
175,7.982079665792248
176,5.684073942252498
177,7.27699877472664
178,9.104243827246291
179,6.303700881995466
180,8.289386727066761
181,8.119421678394373
182,6.822079962798074
183,8.210931268254425
184,6.537232569647284
185,7.1772597195143275
186,7.702497640552135
187,7.035938133392044
188,6.675040806404642
189,6.159075298362624
190,6.197911905671271
191,5.319428493943992
192,6.328750152137729
193,5.783602604741112
194,6.075145754189068
195,4.361373669174793
196,5.068465159857389
197,5.919846278788882
198,6.069999008545626
199,7.321419523462937
200,5.848174245348846
201,5.173064876357541
202,6.372801282735184
203,4.995606543975202
204,5.77870071377037
205,5.7370099344507395
206,4.998736182432864
207,5.737682336622112
208,6.004912268067645
209,5.246758793423244
210,5.193620037465552
211,5.691211037564165
212,6.71880849013647
213,5.762613458218657
214,6.126172188894003
215,5.963859823469944
216,6.37872784782934
217,5.527386140504114
218,7.477694193620998
219,5.877029138338886
220,5.809764102879586
221,5.600979735140818
222,8.499365609370322
223,5.989833345250426
224,5.842431170939861
225,4.858719535316176
226,6.038688391863061
227,5.67311343994861
228,5.180966999686834
229,5.7618895395887035
230,4.692174284714372
231,5.404543477801018
232,6.421868975124044
233,5.402979057389047
234,5.9821551710062515
235,5.593473557968835
236,4.9197287715627125
237,5.805831035671454
238,7.027987808134747
239,6.16473298540906
240,5.043578191711508
241,5.7301762894892185
242,4.834248653703076
243,5.849283505212284
244,6.063297282596988
245,10.177174544921412
246,11.767288611964574
247,6.956814315734022
248,6.795502261896544
249,7.962506744291141
250,8.246848877705746
251,6.808160870076146
252,6.286470502988764
253,8.80069444053492
254,7.217475183144334
255,6.305812845905016
256,6.6162998209163435
257,7.211309031268534
258,6.705591336457347
259,6.714390116514125
260,7.424580761420681
0,6.236411673452308
1,5.7212369549864945
2,6.9405018463347234
3,6.017617473215174
4,4.999831654205466
5,4.96856564670246
6,6.16292835361509
7,6.9621525414657395
8,6.432729771976564
9,5.220601671590974
10,5.687086101940338
11,5.8494683514416925
12,5.853726558015116
13,6.036377902084216
14,6.324757299764185
15,5.788515809426783
16,5.8992026340015284
17,6.538521395915301
18,6.017284778255242
19,6.538429335467717
20,8.094786902953595
21,6.519642709420657
22,6.188181851682497
23,7.499852338176965
24,6.397657483246298
25,7.563788321741192
26,5.975398762422005
27,6.298151216239608
28,5.730956915403304
29,6.6107774315861665
30,8.62167693381473
31,8.379272739716688
32,7.324342058973782
33,8.68590570090691
34,7.381518223281806
35,7.990715326172077
36,7.182976185269718
37,6.928442546090869
38,6.45193370639642
39,6.6633484674300805
40,5.976308123988278
41,8.411631317709938
42,6.904317307555814
43,6.945096332667944
44,6.786526643759416
45,7.999624005629759
46,6.5757697429119855
47,6.24486296739686
48,6.517114831351597
49,6.909703298340737
50,6.416575992704684
51,6.806189244182748
52,6.597474594991283
53,8.773456598028162
54,5.799126194298611
55,5.606853567240576
56,5.414095697518946
57,5.883318869517776
